50_R,,5_R,,2_R,,R,,05_R,,02_R,,002_R,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,1.0005184033177812,0,1,0,1,0,1,0,1,0,1,0,1.0005184033177812
0.176429075511642,0.9191290824261276,2.20536344389555,0.897874546397097,5.822159491884257,0.9030585795749093,9.88002822865208,0.9165370658372214,9.527170077628789,0.9590461378952825,13.673253352152436,0.9761534473820632,17.113620324629494,0.9968895800933126
0.352858151023284,0.8190772420943493,4.322512350035282,0.8149300155520995,10.585744530698655,0.8278900984966304,19.76005645730416,0.838258164852255,20.642201834862377,0.9123898392949714,27.346506704304865,0.9528252980819077,43.75441072688779,0.9917055469155003
0.8821453775582171,0.7169517884914463,6.351446718419197,0.7459823742871954,15.172900494001404,0.7547952306894763,27.346506704304865,0.7776049766718507,40.66690190543401,0.8330741316744428,41.81369089625971,0.9284603421461898,63.51446718419195,0.9880767236910316
0.9703599153140345,0.6397096941420425,8.29216654904728,0.6682218766200103,20.377558221594917,0.678589942975635,36.87367678193366,0.7076205287713841,53.10515172900494,0.7848626231207879,58.39802399435427,0.9020217729393468,77.89343683839095,0.9865215137376879
1.5878616796047922,0.5458786936236392,10.49752999294283,0.5966822187662001,24.87649964714184,0.6127527216174182,44.724770642201825,0.6485225505443235,64.22018348623854,0.7418351477449455,71.2773465067043,0.8812856402280975,96.94777699364855,0.9834110938310006
1.7642907551164413,0.47433903576982883,12.967537050105854,0.5095904613789527,29.81651376146788,0.5469155002592015,53.10515172900494,0.5894245723172628,79.04022582921664,0.6858475894245722,85.03881439661257,0.8589942975635043,117.94283697953423,0.9803006739243131
2.1171489061397253,0.39917055469154994,16.3196894848271,0.40642820114048717,35.638673253352145,0.4675997926386729,61.57374735356387,0.5313634007257645,92.71347918136908,0.6376360808709175,96.77134791813691,0.8403317781233799,139.11432604093153,0.9771902540176257
2.734650670430483,0.30222913426645925,19.495412844036693,0.3177812337998962,41.99011997177134,0.3903576982892689,71.6302046577276,0.4655261793675479,104.44601270289343,0.5951270088128563,109.73888496824276,0.8190772420943493,159.66831333803808,0.973561430793157
2.6464361326746584,0.23068947641264892,23.729710656316158,0.21358216692586818,47.54763585038814,0.32452047693105224,80.4516584333098,0.41005702436495584,116.17854622441777,0.5546915500259201,121.4714184897671,0.8014515292897875,178.28158080451655,0.9714878175220322
3.3521524347212406,0.148781752203214,27.0818630910374,0.14307931570762034,54.51658433309809,0.2545360290305857,93.59562455892728,0.33281493001555196,129.14608327452365,0.5106272680145152,136.46788990825686,0.7781233799896319,199.1002117148906,0.966822187662001
4.410726887791107,0.08605495075168479,31.227946365561046,0.07724209434940366,62.103034580098786,0.18144116122343168,105.06351446718418,0.27112493519958514,142.90755116443188,0.4670813893208916,150.75864502470006,0.7563504406428201,220.62455892731123,0.9631933644375323
6.616090331686657,0.010368066355624483,36.256175017642896,0.022809745982374174,70.30698659139026,0.11664074650077749,116.97247706422019,0.2109901503369621,158.5215243472124,0.41731467081389306,165.40225829216652,0.7325038880248833,240.20818630910372,0.9606013478486262
18.083980239943543,0,44.901199717713475,-0.0005184033177814129,80.18701482004232,0.05546915500259186,130.20465772759349,0.15396578538102623,172.8122794636556,0.3732503888024883,177.66407904022583,0.7164333851736651,250.0882145377558,0.960082944530845
31.669019054340147,0,58.486238532110086,0,91.5666901905434,0.01296008294453066,139.46718419195483,0.11715914981855868,188.16160903316867,0.3297045101088645,194.3366266760762,0.6915500259201659,,
46.04798870853916,0,82.48059280169372,0,105.06351446718418,0,151.0232886379675,0.07983411093830983,200.42342978122792,0.2954898911353032,207.30416372618208,0.6713322965266977,,
59.80945659844742,0,106.38673253352152,0,121.4714184897671,0,160.99153140437542,0.051840331778123305,213.56739590684546,0.26127527216174173,219.12491178546225,0.6552617936754794,,
72.07127734650669,-0.0005184033177814129,134.26252646436131,0,137.7911079745942,0,172.63585038814395,0.02592016588906154,227.06422018348627,0.22757905650596155,231.7395906845448,0.6371176775531362,,
84.86238532110093,0,156.1397318278052,0,154.72829922371204,0,182.7805222300635,0.009849663037843293,239.41425546930134,0.1990668740279936,243.6485532815808,0.6205287713841368,,
98.62385321100916,0,179.075511644319,0,168.13690896259703,0,202.80522230063514,0,250,0.17625712804561933,250,0.6127527216174182,,
112.82639378969654,0,205.36344389555398,0,180.83980239943543,0,219.65419901199715,0,,,,,,
124.99999999999997,0,229.62244177840506,0,196.63020465772757,-0.0005184033177814129,240.29640084685957,0,,,,,,
139.55539872971065,0,250,0,210.12702893436838,0,250,0,,,,,,
155.52223006351446,0,,,223.80028228652077,0,,,,,,,,
172.4594213126323,0,,,237.3853211009174,0,,,,,,,,
192.83697953422723,0,,,250,0,,,,,,,,
207.12773465067042,0,,,,,,,,,,,,
225.3881439661256,0,,,,,,,,,,,,
239.061397318278,0,,,,,,,,,,,,
250,0,,,,,,,,,,,,
